G,Date,Opp,minutes_played,PTS,GmSc,total_shots_taken,day
1.0,2022-10-18,GSW,1480000,3.0,4.7,10.0,Tuesday
2.0,2022-10-20,LAC,1982000,5.0,2.0,13.0,Thursday
3.0,2022-10-23,POR,1771000,7.0,8.2,6.0,Sunday
4.0,2022-10-26,DEN,1739000,6.0,7.1,6.0,Wednesday
5.0,2022-10-28,MIN,1781000,6.0,6.8,5.0,Friday
6.0,2022-10-30,DEN,1271000,5.0,4.4,9.0,Sunday
7.0,2022-11-02,NOP,1640000,0.0,0.6,3.0,Wednesday
8.0,2022-11-04,UTA,1696000,5.0,6.2,3.0,Friday
,2022-11-06,CLE,0,0,0,00,Sunday
,2022-11-07,UTA,0,0,0,00,Monday
9.0,2022-11-09,LAC,2075000,7.0,3.2,13.0,Wednesday
10.0,2022-11-11,SAC,1584000,5.0,4.8,11.0,Friday
11.0,2022-11-13,BRK,1532000,2.0,0.9,9.0,Sunday
12.0,2022-11-18,DET,1504000,4.0,-0.1,6.0,Friday
13.0,2022-11-20,SAS,1182000,3.0,1.9,9.0,Sunday
14.0,2022-11-22,PHO,1751000,0.0,1.2,3.0,Tuesday
,2022-11-25,SAS,0,0,0,00,Friday
,2022-11-26,SAS,0,0,0,00,Saturday
,2022-11-28,IND,0,0,0,00,Monday
15.0,2022-11-30,POR,1346000,5.0,2.6,12.0,Wednesday
16.0,2022-12-02,MIL,1402000,7.0,5.5,8.0,Friday
17.0,2022-12-04,WAS,1445000,1.0,1.4,8.0,Sunday
18.0,2022-12-06,CLE,1288000,5.0,4.9,10.0,Tuesday
,2022-12-07,TOR,0,0,0,00,Wednesday
19.0,2022-12-09,PHI,2296000,9.0,9.9,5.0,Friday
20.0,2022-12-11,DET,1467000,5.0,5.1,9.0,Sunday
21.0,2022-12-13,BOS,1125000,6.0,2.2,8.0,Tuesday
22.0,2022-12-16,DEN,1240000,10.0,11.7,9.0,Friday
,2022-12-18,WAS,0,0,0,00,Sunday
23.0,2022-12-19,PHO,1389000,9.0,3.6,10.0,Monday
24.0,2022-12-21,SAC,2235000,13.0,12.3,9.0,Wednesday
25.0,2022-12-23,CHO,1791000,11.0,13.0,8.0,Friday
26.0,2022-12-25,DAL,1946000,8.0,7.7,8.0,Sunday
27.0,2022-12-27,ORL,1781000,14.0,9.8,21.0,Tuesday
28.0,2022-12-28,MIA,1655000,6.0,7.1,12.0,Wednesday
29.0,2022-12-30,ATL,1513000,10.0,11.7,8.0,Friday
30.0,2023-01-02,CHO,1943000,6.0,4.1,11.0,Monday
31.0,2023-01-04,MIA,1567000,4.0,2.8,7.0,Wednesday
32.0,2023-01-06,ATL,1447000,5.0,5.4,8.0,Friday
33.0,2023-01-07,SAC,1537000,6.0,2.5,6.0,Saturday
34.0,2023-01-09,DEN,721000,0.0,-1.0,2.0,Monday
,2023-01-12,DAL,0,0,0,00,Thursday
,2023-01-15,PHI,0,0,0,00,Sunday
35.0,2023-01-16,HOU,1313000,11.0,8.5,12.0,Monday
36.0,2023-01-18,SAC,1593000,3.0,2.9,8.0,Wednesday
37.0,2023-01-20,MEM,1352000,10.0,7.5,11.0,Friday
38.0,2023-01-22,POR,1725000,4.0,6.6,4.0,Sunday
39.0,2023-01-24,LAC,2112000,3.0,1.2,14.0,Tuesday
40.0,2023-01-25,SAS,1417000,18.0,13.6,19.0,Wednesday
41.0,2023-01-28,BOS,2187000,15.0,15.4,17.0,Saturday
42.0,2023-01-30,BRK,2086000,5.0,0.6,13.0,Monday
,2023-01-31,NYK,0,0,0,00,Tuesday
43.0,2023-02-02,IND,1711000,7.0,10.6,6.0,Thursday
44.0,2023-02-04,NOP,1626000,7.0,7.8,4.0,Saturday
45.0,2023-02-07,OKC,1421000,7.0,4.9,6.0,Tuesday
,2023-02-11,MIA,0,0,0,00,Saturday
46.0,2023-02-24,BRK,1330000,8.0,8.1,7.0,Friday
47.0,2023-02-26,WAS,1567000,0.0,-1.7,7.0,Sunday
48.0,2023-02-28,TOR,1749000,8.0,8.0,10.0,Tuesday
49.0,2023-03-01,DET,1990000,5.0,15.9,6.0,Wednesday
50.0,2023-03-03,PHO,1749000,2.0,3.7,3.0,Friday
51.0,2023-03-05,IND,1937000,5.0,4.8,4.0,Sunday
